id, first_name, last_name, in_senate, state, gender, party, fec_candidate_id, state_rank, district, govtrack_id
164, Matt, Cartwright, false, PA, M, D, H2PA17079, N/A, 17, 412571
165, Kathy, Castor, false, FL, F, D, H6FL11126, N/A, 14, 412195
166, Joaquín, Castro, false, TX, M, D, H2TX35011, N/A, 20, 412576
167, Steven, Chabot, false, OH, M, R, H8OH01043, N/A, 1, 400071
168, Jason, Chaffetz, false, UT, M, R, H8UT03089, N/A, 3, 412270
169, Liz, Cheney, false, WY, F, R, H6WY00159, N/A, At-Large, 412732
170, Judy, Chu, false, CA, F, D, H0CA32101, N/A, 27, 412379
171, David, Cicilline, false, RI, M, D, H0RI01073, N/A, 1, 412470
172, Katherine, Clark, false, MA, F, D, H4MA05084, N/A, 5, 412600
173, Yvette, Clarke, false, NY, F, D, H4NY11138, N/A, 9, 412221
174, William, Clay, false, MO, M, D, H0MO01066, N/A, 1, 400074
175, Emanuel, Cleaver, false, MO, M, D, H4MO05234, N/A, 5, 400639
176, Michael, Cloud, false, TX, M, R, , N/A, 27, 412746
177, James, Clyburn, false, SC, M, D, H2SC02042, N/A, 6, 400075
178, Mike, Coffman, false, CO, M, R, H8CO06138, N/A, 6, 412271
179, Steve, Cohen, false, TN, M, D, H6TN09068, N/A, 9, 412236
180, Tom, Cole, false, OK, M, R, H2OK04055, N/A, 4, 400077
181, Doug, Collins, false, GA, M, R, H2GA09150, N/A, 9, 412531
182, Chris, Collins, false, NY, M, R, H8NY29032, N/A, 27, 412563
183, James, Comer, false, KY, M, R, H6KY01110, N/A, 1, 412676
184, Barbara, Comstock, false, VA, F, R, H4VA10089, N/A, 10, 412658
185, K., Conaway, false, TX, M, R, H4TX19136, N/A, 11, 400655
186, Gerald, Connolly, false, VA, M, D, H8VA11062, N/A, 11, 412272
187, John, Conyers, false, MI, M, D, H6MI01028, N/A, 13, 400080
188, Paul, Cook, false, CA, M, R, H2CA08164, N/A, 8, 412513
189, Jim, Cooper, false, TN, M, D, H2TN05131, N/A, 5, 400081
190, J., Correa, false, CA, M, D, H6CA46116, N/A, 46, 412688
191, Jim, Costa, false, CA, M, D, H4CA20082, N/A, 16, 400618
192, Ryan, Costello, false, PA, M, R, H0PA06076, N/A, 6, 412651
193, Joe, Courtney, false, CT, M, D, H2CT02112, N/A, 2, 412193
194, Kevin, Cramer, false, ND, M, R, H0ND01026, N/A, At-Large, 412555
195, Rick, Crawford, false, AR, M, R, H0AR01083, N/A, 1, 412400
196, Charlie, Crist, false, FL, M, D, H6FL13205, N/A, 13, 412697
197, Joseph, Crowley, false, NY, M, D, H8NY07046, N/A, 14, 400087
198, Henry, Cuellar, false, TX, M, D, H2TX23082, N/A, 28, 400657
199, John, Culberson, false, TX, M, R, H0TX07055, N/A, 7, 400089
200, Elijah, Cummings, false, MD, M, D, H6MD07160, N/A, 7, 400090
201, Carlos, Curbelo, false, FL, M, R, H4FL26038, N/A, 26, 412621
202, John, Curtis, false, UT, M, R, , N/A, 3, 412740
203, Warren, Davidson, false, OH, M, R, H6OH08315, N/A, 8, 412675
204, Susan, Davis, false, CA, F, D, H0CA49055, N/A, 53, 400097
205, Rodney, Davis, false, IL, M, R, H2IL13120, N/A, 13, 412536
206, Danny, Davis, false, IL, M, D, H4IL07037, N/A, 7, 400093
207, Peter, DeFazio, false, OR, M, D, H6OR04047, N/A, 4, 400100
208, Diana, DeGette, false, CO, F, D, H6CO01141, N/A, 1, 400101
209, John, Delaney, false, MD, M, D, H2MD06195, N/A, 6, 412544
210, Rosa, DeLauro, false, CT, F, D, H0CT03072, N/A, 3, 400103
211, Suzan, DelBene, false, WA, F, D, H0WA08046, N/A, 1, 412505
212, Val, Demings, false, FL, F, D, H2FL08063, N/A, 10, 412696
213, Jeffrey, Denham, false, CA, M, R, H0CA19173, N/A, 10, 412403
214, Charlie, Dent, false, PA, M, R, H4PA15087, N/A, 15, 400648
215, Ron, DeSantis, false, FL, M, R, H2FL00292, N/A, 6, 412526
216, Mark, DeSaulnier, false, CA, M, D, H0CA10073, N/A, 11, 412613
217, Scott, DesJarlais, false, TN, M, R, H0TN04195, N/A, 4, 412477
218, Ted, Deutch, false, FL, M, D, H0FL19080, N/A, 22, 412385
219, Mario, Diaz-Balart, false, FL, M, R, H2FL25018, N/A, 25, 400108
220, Debbie, Dingell, false, MI, F, D, H4MI12079, N/A, 12, 412637
221, Lloyd, Doggett, false, TX, M, D, H4TX10028, N/A, 35, 400111
222, Daniel, Donovan, false, NY, M, R, H6NY11174, N/A, 11, 412672
223, Mike, Doyle, false, PA, M, D, H4PA18131, N/A, 14, 400114
224, Sean, Duffy, false, WI, M, R, H0WI07051, N/A, 7, 412488
225, John, Duncan, false, TN, M, R, H8TN02069, N/A, 2, 400116
226, Jeffrey, Duncan, false, SC, M, R, H0SC03077, N/A, 3, 412472
227, Neal, Dunn, false, FL, M, R, H6FL02208, N/A, 2, 412691
