candidate_id,bill_id,vote
400347,19,Yea
400349,19,Yea
400350,19,Yea
400352,19,Yea
400355,19,Yea
400360,19,Yea
400361,19,Yea
400363,19,Yea
400364,19,Yea
400365,19,Yea
400366,19,Yea
400371,19,Yea
400373,19,Yea
400376,19,Yea
400379,19,Yea
400380,19,Yea
400402,19,Yea
400403,19,Yea
400404,19,Yea
400411,19,Yea
400414,19,Yea
400416,19,Yea
400417,19,Yea
400419,19,Not Voting
400422,19,Yea
400433,19,Not Voting
400440,19,Yea
400616,19,Yea
400618,19,Yea
400623,19,Yea
400630,19,Yea
400639,19,Yea
400640,19,Yea
400641,19,Yea
400643,19,Yea
400644,19,Not Voting
400651,19,Yea
400653,19,Yea
400654,19,Yea
400655,19,Yea
400656,19,Yea
400657,19,Yea
400659,19,Yea
400661,19,Yea
400663,19,Yea
412186,19,Yea
412189,19,Yea
412190,19,Yea
412191,19,Yea
412192,19,Yea
412193,19,Yea
412195,19,Yea
412196,19,Yea
412199,19,Yea
412209,19,Yea
412211,19,Yea
412212,19,Yea
412213,19,Yea
412217,19,Yea
412221,19,Yea
412226,19,Yea
412236,19,Yea
412239,19,Yea
412250,19,Yea
412255,19,Yea
412256,19,Yea
412257,19,Yea
412258,19,Yea
412259,19,Yea
412261,19,Yea
412272,19,Yea
412278,19,Yea
412282,19,Yea
412283,19,Yea
412286,19,Yea
412292,19,Yea
412293,19,Yea
412295,19,Yea
412302,19,Yea
412307,19,Yea
412309,19,Not Voting
412310,19,Yea
412315,19,Yea
412317,19,Yea
412318,19,Yea
412319,19,Yea
412327,19,Yea
412331,19,Yea
412379,19,Yea
412382,19,Yea
412385,19,Yea
412388,19,Yea
412393,19,Yea
412394,19,Yea
412395,19,Yea
412396,19,Yea
412397,19,Yea
412399,19,Yea
412400,19,Yea
412402,19,Yea
412404,19,Yea
412405,19,Yea
412410,19,Yea
412412,19,Not Voting
412416,19,Yea
412417,19,Yea
412421,19,Yea
412427,19,Yea
412432,19,Yea
412434,19,Yea
412435,19,Yea
412437,19,Yea
412438,19,Yea
412443,19,Yea
412444,19,Yea
412445,19,Yea
412460,19,Yea
412461,19,Yea
412463,19,Yea
412465,19,Yea
412470,19,Yea
412472,19,Yea
412476,19,Yea
412477,19,Yea
412480,19,Yea
412485,19,Yea
412486,19,Yea
412487,19,Yea
412488,19,Yea
412500,19,Yea
412501,19,Yea
412503,19,Yea
412505,19,Yea
412506,19,Not Voting
412510,19,Yea
412511,19,Yea
412512,19,Yea
412513,19,Yea
412514,19,Not Voting
412516,19,Yea
412517,19,Yea
412519,19,Yea
412520,19,Yea
412521,19,Yea
412522,19,Not Voting
412523,19,Yea
412525,19,Yea
412529,19,Yea
412531,19,Yea
412532,19,Yea
412534,19,Yea
412536,19,Yea
412537,19,Yea
412538,19,Yea
412539,19,Yea
412541,19,Yea
412543,19,Yea
412546,19,Yea
412548,19,Yea
412550,19,Yea
412552,19,Yea
412553,19,Yea
412557,19,Yea
412559,19,Yea
412560,19,Yea
412561,19,Yea
412562,19,Yea
412563,19,Yea
412564,19,Yea
412565,19,Yea
412566,19,Yea
412568,19,Yea
412569,19,Yea
412571,19,Yea
412572,19,Yea
412574,19,Yea
412576,19,Yea
412578,19,Yea
412579,19,Yea
412580,19,Yea
412581,19,Yea
412583,19,Yea
412584,19,Yea
412585,19,Yea
412595,19,Yea
412596,19,Yea
412600,19,Not Voting
412601,19,Not Voting
412606,19,Yea
412607,19,Yea
412608,19,Yea
412609,19,Yea
412610,19,Yea
412612,19,Yea
412613,19,Yea
412615,19,Yea
412616,19,Yea
412617,19,Yea
