name;donor;contribution
David P Joyce;Invacare Corp;$20,900
David P Joyce;Seafarers International Union;$18,750
David P Joyce;Scotts Miracle-Gro;$18,577
David P Joyce;Eaton Corp;$17,650
Tim Kaine;J Street;$182,267
Tim Kaine;Covington & Burling;$134,150
Tim Kaine;Northrop Grumman;$82,703
Tim Kaine;Altria Group;$81,076
Tim Kaine;Akin, Gump et al;$69,352
Marcy Kaptur;Boilermakers Union;$15,000
Marcy Kaptur;Forest City Enterprises;$14,300
Marcy Kaptur;General Atomics;$12,000
Marcy Kaptur;Northrop Grumman;$12,000
Marcy Kaptur;American Assn for Justice;$10,000
John Katko;Bankers Healthcare Group;$32,400
John Katko;Nucor Corp;$15,400
John Katko;AT&T Inc;$14,650
John Katko;Clear;$13,900
John Katko;Blackstone Group;$13,500
Bill Keating;International Brotherhood of Electrical Workers;$10,030
Bill Keating;American Assn for Justice;$10,000
Bill Keating;American Crystal Sugar;$10,000
Bill Keating;American Federation of State/Cnty/Munic Employees;$10,000
Bill Keating;American Federation of Teachers;$10,000
Mike Kelly;Blue Cross/Blue Shield;$20,000
Mike Kelly;PNC Financial Services;$18,548
Mike Kelly;Genesee & Wyoming;$16,750
Mike Kelly;Armstrong Group of Companies;$16,200
Mike Kelly;Federated Investors Inc;$15,400
Robin Kelly;Blue Cross/Blue Shield;$12,500
Robin Kelly;United Food & Commercial Workers Union;$11,000
Robin Kelly;AT&T Inc;$10,750
Robin Kelly;American Assn for Justice;$10,000
Robin Kelly;American Crystal Sugar;$10,000
Trent Kelly;Northrop Grumman;$15,000
Trent Kelly;Dunlap & Kyle;$14,300
Trent Kelly;Bancorpsouth;$14,000
Trent Kelly;American Bankers Assn;$10,000
Trent Kelly;American Crystal Sugar;$10,000
Joe Kennedy III;Crescent Capital Group;$49,107
Joe Kennedy III;Nixon Peabody LLP;$40,750
Joe Kennedy III;Alphabet Inc;$36,310
Joe Kennedy III;Harvard University;$29,711
Joe Kennedy III;Kirkland & Ellis;$25,700
John Kennedy;Morris & Dickson;$43,200
John Kennedy;Atco Investment;$40,600
John Kennedy;Acadian Companies;$40,100
John Kennedy;Johnson, Rice & Co;$38,300
John Kennedy;Edison Chouest Offshore;$37,600
Ro Khanna;Alphabet Inc;$47,360
Ro Khanna;Wilson, Sonsini et al;$30,350
Ro Khanna;Blackstone Group;$22,003
Ro Khanna;Cisco Systems;$21,720
Ro Khanna;US Venture Partners;$21,600
Ruben Kihuen;AmeriPAC: The Fund for a Greater America;$11,000
Ruben Kihuen;Jobs, Opportunities & Education PAC;$10,000
Ruben Kihuen;Committee for Hispanic Causes-BOLD PAC;$9,837
Ruben Kihuen;National Air Traffic Controllers Assn;$9,000
Ruben Kihuen;Democrats Reshaping America;$8,100
Dan Kildee;Rock Holdings;$33,800
Dan Kildee;Dykema Gossett;$10,500
Dan Kildee;Great Lakes Sugar Beet Growers Assn;$10,500
Dan Kildee;General Motors;$10,440
Dan Kildee;Ford Motor Co;$10,010
Derek Kilmer;Microsoft Corp;$30,900
Derek Kilmer;Northrop Grumman;$19,250
Derek Kilmer;New Democrat Coalition;$16,800
Derek Kilmer;Weyerhaeuser Co;$14,750
Derek Kilmer;Amazon.com;$12,000
Ron Kind;New Democrat Coalition;$21,300
Ron Kind;Blue Cross/Blue Shield;$19,500
Ron Kind;UnitedHealth Group;$12,035
Ron Kind;American Chiropractic Assn;$11,000
Ron Kind;American College of Cardiology;$11,000
Angus King;J Street;$88,085
Angus King;General Dynamics;$65,150
Angus King;Northrop Grumman;$48,300
Angus King;Paloma Partners;$35,600
Angus King;League of Conservation Voters;$31,387
Pete King;Winthrop Financial Assoc;$16,200
Pete King;National Assn of Realtors;$15,000
Pete King;Sheet Metal, Air, Rail & Transportation Union;$15,000
Pete King;Goldman Sachs;$12,700
Pete King;Mack-Cali Realty;$12,300
Steven A. King;ICM Inc;$10,800
Steven A. King;Ls2 Group;$10,800
Steven A. King;US Navy;$10,800
Steven A. King;American Bankers Assn;$10,000
Steven A. King;AT&T Inc;$10,000
Adam Kinzinger;Exelon Corp;$16,400
Adam Kinzinger;Laborers Union;$15,100
Adam Kinzinger;Rockford Anesthesiology Assoc;$14,000
Adam Kinzinger;State Farm Insurance;$13,000
Adam Kinzinger;Verizon Communications;$11,000
Amy Klobuchar;Dorsey & Whitney;$65,435
Amy Klobuchar;Delta Air Lines;$60,314
Amy Klobuchar;Walt Disney Co;$59,581
Amy Klobuchar;University of Minnesota;$55,393
Amy Klobuchar;Cargill Inc;$53,875
Steve Knight;Northrop Grumman;$19,000
Steve Knight;Honeywell International;$15,399
Steve Knight;Western National Group;$13,113
Steve Knight;Anheuser-Busch InBev;$12,700
Steve Knight;AT&T Inc;$12,700
Raja Krishnamoorthi;Kirkland & Ellis;$122,050
Raja Krishnamoorthi;Uca Group;$27,000
Raja Krishnamoorthi;Northwestern University;$20,849
Raja Krishnamoorthi;AAR Corp;$20,800
Raja Krishnamoorthi;Exelon Corp;$19,800
Ann Kuster;J Street;$50,031
Ann Kuster;Dartmouth College;$43,193
Ann Kuster;Democracy Engine;$25,300
Ann Kuster;State of New Hampshire;$23,680
Ann Kuster;Dartmouth-Hitchcock Medical Center;$18,677
David Kustoff;Tower Ventures;$22,200
David Kustoff;AutoZone Inc;$21,300
David Kustoff;Brown Brothers Harriman & Co;$17,700
David Kustoff;FedEx Corp;$17,400
David Kustoff;International Paper;$16,650
Jon Kyl;Small Individual Contributions (< $200);$0
Jon Kyl;Large Individual Contributions;$0
Jon Kyl;PAC Contributions*;$0
Jon Kyl;Candidate self-financing;$0
Jon Kyl;Other;$0
Raul Labrador;House Freedom Fund;$18,500
Raul Labrador;American Crystal Sugar;$5,000
Raul Labrador;Anheuser-Busch InBev;$5,000
Raul Labrador;Berkshire Hathaway;$5,000
Raul Labrador;Debest Plumbing;$5,000
Darin LaHood;Exelon Corp;$29,850
Darin LaHood;Ernst & Young;$22,500
Darin LaHood;Marquis Energy;$19,100
Darin LaHood;McDonald's Corp;$17,100
Darin LaHood;Knapheide Manufacturing;$16,450
Doug LaMalfa;National Cattlemen's Beef Assn;$11,000
Doug LaMalfa;Akt Development;$10,800
Doug LaMalfa;Montna Farms;$10,600
Doug LaMalfa;American Crystal Sugar;$10,000
Doug LaMalfa;Blue Diamond Growers;$10,000
Conor Lamb;J Street;$74,304
Conor Lamb;PNC Financial Services;$46,001
Conor Lamb;University of Pittsburgh;$44,635
Conor Lamb;UPMC Health System;$41,697
Conor Lamb;University of Pennsylvania;$31,773
Douglas L Lamborn;DISH Network;$15,000
Douglas L Lamborn;Northrop Grumman;$14,000
Douglas L Lamborn;Sierra Nevada Corp;$12,400
Douglas L Lamborn;MDC Holdings;$10,800
Douglas L Lamborn;American Society of Anesthesiologists;$10,000
Leonard Lance;Votesane PAC;$36,000
Leonard Lance;Celgene Corp;$24,300
Leonard Lance;Goldman Sachs;$22,500
Leonard Lance;Public Service Enterprise Group;$17,500
Leonard Lance;National Assn of Realtors;$16,000
Jim Langevin;General Dynamics;$41,000
Jim Langevin;Northrop Grumman;$23,800
Jim Langevin;Raytheon Co;$13,250
Jim Langevin;Aloha Partners;$10,800
Jim Langevin;Mandell, Schwartz & Boisclair;$10,400
James Lankford;Devon Energy;$85,810
James Lankford;Koch Industries;$52,500
James Lankford;Bancfirst;$37,900
James Lankford;Mathena Inc;$37,200
James Lankford;Energy Transfer Equity;$36,600
Rick Larsen;Northrop Grumman;$11,500
Rick Larsen;Air Line Pilots Assn;$10,250
Rick Larsen;Delta Air Lines;$10,250
Rick Larsen;AECOM Global;$10,000
Rick Larsen;Allied Pilots Assn;$10,000
John B Larson;Prudential Financial;$29,500
John B Larson;United Technologies;$18,650
John B Larson;Guardian Life Insurance;$17,499
John B Larson;Lockheed Martin;$16,200
John B Larson;Northrop Grumman;$15,000
Robert E Latta;American Electric Power;$18,750
Robert E Latta;Marathon Petroleum;$17,825
Robert E Latta;Comcast Corp;$12,000
Robert E Latta;Telephone & Data Systems Inc;$11,500
Robert E Latta;Verizon Communications;$11,500
Brenda Lawrence;Rock Holdings;$15,900
Brenda Lawrence;Plumbers/Pipefitters Union;$11,000
Brenda Lawrence;CMS Energy;$10,500
Brenda Lawrence;Ford Motor Co;$10,250
Brenda Lawrence;United Auto Workers;$10,025
Al Lawson;National Assn of Insurance & Financial Advisors;$11,500
Al Lawson;Northwestern Mutual;$10,500
Al Lawson;American Bankers Assn;$10,000
Al Lawson;American Crystal Sugar;$10,000
Al Lawson;Anheuser-Busch InBev;$10,000
Patrick Leahy;Lockheed Martin;$83,300
Patrick Leahy;Law Offices of Peter G Angelos;$56,000
Patrick Leahy;Comcast Corp;$49,700
Patrick Leahy;J Street;$44,168
Patrick Leahy;DISH Network;$37,000
Barbara Lee;University of California;$24,738
Barbara Lee;Kaiser Permanente;$12,065
Barbara Lee;Teamsters Union;$11,500
Barbara Lee;Bernstein & Lipsett;$11,300
Barbara Lee;Amalgamated Transit Union;$10,000
Mike Lee;Club for Growth;$360,732
Mike Lee;Senate Conservatives Fund;$171,407
Mike Lee;Kirkham Motorsports;$111,200
Mike Lee;Sullivan & Cromwell;$79,666
Mike Lee;Pachulski, Stang et al;$77,400
Debbie Lesko;House Freedom Fund;$156,026
Debbie Lesko;Pinnacle West Capital;$62,650
Debbie Lesko;21st Century Healthcare;$21,600
Debbie Lesko;Arizona Diamondbacks;$21,600
Debbie Lesko;Koch Industries;$20,000
Sander Levin;American Assn for Justice;$5,000
Sander Levin;American Federation of Teachers;$5,000
Sander Levin;Carpenters & Joiners Union;$5,000
Sander Levin;Laborers Union;$5,000
Sander Levin;Morgan Stanley;$3,000
Jason Lewis;Hubbard Broadcasting;$18,200
Jason Lewis;Ames Construction;$16,200
Jason Lewis;Davisco Foods International;$13,500
Jason Lewis;Starkey Hearing Technologies;$13,500
Jason Lewis;Western National Group;$13,456
John Lewis;Select Medical Holdings;$18,440
John Lewis;University of California;$12,784
John Lewis;Delta Air Lines;$11,704
John Lewis;Home Depot;$11,300
John Lewis;National Education Assn;$10,830
Ted Lieu;Democracy Engine;$58,750
Ted Lieu;Royal Business Bank;$22,300
Ted Lieu;Munger, Tolles & Olson;$18,650
Ted Lieu;DreamWorks SKG;$16,200
Ted Lieu;It Starts Today;$14,400
Daniel Lipinski;Laborers Union;$15,000
Daniel Lipinski;Weglarz Co;$13,900
Daniel Lipinski;Caterpillar Inc;$13,700
Daniel Lipinski;Berkshire Hathaway;$12,700
Daniel Lipinski;Collins Engineers;$11,400
Frank LoBiondo;National Assn of Letter Carriers;$10,000
Frank LoBiondo;Ocean Spray Cranberries;$10,000
Frank LoBiondo;Kline Construction;$7,936
Frank LoBiondo;Seafarers International Union;$7,500
Frank LoBiondo;Air Line Pilots Assn;$5,000
David Loebsack;University of Iowa;$52,712
David Loebsack;Principal Financial Group;$24,005
David Loebsack;Telephone & Data Systems Inc;$15,400
David Loebsack;Rockwell Collins Inc;$14,235
David Loebsack;Deere & Co;$12,502
Zoe Lofgren;Fragomen, Del Rey et al;$117,920
Zoe Lofgren;Cisco Systems;$52,150
Zoe Lofgren;Alphabet Inc;$44,700
Zoe Lofgren;Butler Amusements;$32,000
Zoe Lofgren;Intuit Inc;$27,550
Billy Long;Leggett & Platt;$20,200
Billy Long;Ozarks Coca-Cola Bottling;$16,200
Billy Long;Prime Inc;$16,200
Billy Long;Mercy;$15,550
Billy Long;AT&T Inc;$12,000
Barry Loudermilk;AFLAC Inc;$10,500
Barry Loudermilk;Southern Co;$10,500
Barry Loudermilk;Lockheed Martin;$10,250
Barry Loudermilk;American Bankers Assn;$10,000
Barry Loudermilk;Anheuser-Busch InBev;$10,000
Mia Love;Merit Medical Systems;$25,800
Mia Love;Doterra International;$22,500
Mia Love;Blackstone Group;$18,900
Mia Love;Zions Bancorp;$18,500
Mia Love;Keller Investment Properties;$16,200
Alan Lowenthal;Seafarers International Union;$15,500
Alan Lowenthal;Air Line Pilots Assn;$10,000
Alan Lowenthal;American Academy of Family Physicians;$10,000
Alan Lowenthal;American Crystal Sugar;$10,000
Alan Lowenthal;American Society of Anesthesiologists;$10,000
Nita M Lowey;Bloomberg LP;$18,100
Nita M Lowey;Regeneron Pharmaceuticals;$15,400
Nita M Lowey;Goldman Sachs;$12,800
Nita M Lowey;Paul, Weiss et al;$12,800
Nita M Lowey;Northrop Grumman;$12,000
Frank D Lucas;Northrop Grumman;$14,000
Frank D Lucas;CME Group;$12,500
Frank D Lucas;CEMEX SA de CV;$11,000
Frank D Lucas;American Crystal Sugar;$10,000
Frank D Lucas;American Institute of CPAs;$10,000
Blaine Luetkemeyer;Jones Financial Companies;$33,600
Blaine Luetkemeyer;Prudential Financial;$32,200
Blaine Luetkemeyer;Boeing Co;$15,400
Blaine Luetkemeyer;State Street Corp;$15,300
Blaine Luetkemeyer;Diamond Pet Foods;$14,450
Ben R Lujan;Akin, Gump et al;$20,000
Ben R Lujan;Blue Cross/Blue Shield;$16,500
Ben R Lujan;L&F Distributors;$10,800
Ben R Lujan;National Assn of Realtors;$10,500
Ben R Lujan;AFLAC Inc;$10,000
Stephen F Lynch;Millennium Partners;$34,300
Stephen F Lynch;State Street Corp;$19,250
Stephen F Lynch;Cargo Ventures;$15,800
Stephen F Lynch;Cronin Group;$10,800
Stephen F Lynch;Keegan Werlin LLP;$10,800
Thomas MacArthur;Votesane PAC;$100,000
Thomas MacArthur;UBS AG;$29,750
Thomas MacArthur;Wakefern Food;$22,200
Thomas MacArthur;Prudential Financial;$20,500
Thomas MacArthur;American International Group;$19,100
Carolyn B Maloney;BlackRock Inc;$27,700
Carolyn B Maloney;Goldman Sachs;$16,700
Carolyn B Maloney;Brown Brothers Harriman & Co;$14,400
Carolyn B Maloney;Royal Bank of Canada;$11,650
Carolyn B Maloney;Sheet Metal, Air, Rail & Transportation Union;$11,000
Sean Patrick Maloney;Paul, Weiss et al;$44,400
Sean Patrick Maloney;Sullivan & Cromwell;$27,505
Sean Patrick Maloney;Simon Property Group;$27,000
Sean Patrick Maloney;New York Life Insurance;$23,113
Sean Patrick Maloney;Crystal Run Healthcare;$22,638
Joe Manchin;Capital Group;$94,500
Joe Manchin;Mylan Inc;$81,175
Joe Manchin;Goldman Sachs;$56,000
Joe Manchin;Capital Group Companies;$47,100
Joe Manchin;Steptoe & Johnson;$46,425
Kenny Marchant;Blue Cross/Blue Shield;$14,500
Kenny Marchant;National Assn of Real Estate Investment Trusts;$11,000
Kenny Marchant;Plains Capital Bank;$10,800
Kenny Marchant;Credit Union National Assn;$10,500
Kenny Marchant;American Bankers Assn;$10,000
Tom Marino;Comcast Corp;$20,750
Tom Marino;Bracey's Supermarkets;$11,700
Tom Marino;AT&T Inc;$11,500
Tom Marino;Young, Conaway et al;$11,250
Tom Marino;Richards, Layton & Finger;$10,900
Ed Markey;League of Conservation Voters;$215,921
Ed Markey;WilmerHale LLP;$128,139
Ed Markey;Granite Telecommunications;$99,900
Ed Markey;Mintz, Levin et al;$98,750
Ed Markey;Bain Capital;$79,039
Roger Marshall;Poet LLC;$20,400
Roger Marshall;Conestoga Energy Partners;$13,500
Roger Marshall;Fry Eye Assoc;$13,300
Roger Marshall;National Cattlemen's Beef Assn;$12,000
Roger Marshall;Klotz Sand Co;$10,400
Thomas Massie;Agentis Management;$10,400
Thomas Massie;National Assn of Home Builders;$9,000
Thomas Massie;UM Holdings;$7,700
Thomas Massie;Thiel Audio;$6,500
Thomas Massie;American Council of Engineering Cos;$6,000
Brian Mast;Duty Free Americas;$24,300
Brian Mast;Amway/Alticor Inc;$23,600
Brian Mast;MCNA Dental Plans;$18,900
Brian Mast;Raia Properties;$18,500
Brian Mast;MacAndrews & Forbes;$18,400
Catherine Cortez Masto;Emily's List;$567,985
Catherine Cortez Masto;League of Conservation Voters;$401,508
Catherine Cortez Masto;J Street;$201,058
Catherine Cortez Masto;University of California;$87,936
Catherine Cortez Masto;University of Nevada;$62,749
Doris O Matsui;American Cable Assn;$15,000
Doris O Matsui;Verizon Communications;$11,000
Doris O Matsui;UnitedHealth Group;$10,500
Doris O Matsui;American Academy of Dermatology Assn;$10,000
Doris O Matsui;American Academy of Neurology;$10,000
Kevin McCarthy;Goldman Sachs;$89,300
Kevin McCarthy;MetLife Inc;$54,350
Kevin McCarthy;Citigroup Inc;$51,600
Kevin McCarthy;Federated Investors Inc;$48,600
Kevin McCarthy;Oracle Corp;$44,500
Claire McCaskill;Emily's List;$611,838
Claire McCaskill;Washington University In St Louis;$460,954
Claire McCaskill;Simmons Hanly Conroy;$409,550
Claire McCaskill;University of Missouri;$228,189
Claire McCaskill;Bryan, Cave et al;$157,928
Michael McCaul;S&B Group;$27,000
Michael McCaul;Leidos Inc;$18,000
Michael McCaul;Sentrillion;$15,200
Michael McCaul;Astrophysics Inc;$13,500
Michael McCaul;Maund Auto Group;$13,500
Tom McClintock;Akt Investments;$10,800
Tom McClintock;Crown Assoc Realty;$10,800
Tom McClintock;Northwest Excavating;$10,800
Tom McClintock;Pisces Inc;$10,800
Tom McClintock;Credit Union National Assn;$10,000
Betty McCollum;Heartland Realty Investors;$32,400
Betty McCollum;Northrop Grumman;$15,000
Betty McCollum;Minneapolis Radiation Oncology;$10,800
Betty McCollum;Air Line Pilots Assn;$10,000
Betty McCollum;American Assn for Justice;$10,000
Mitch McConnell;Blackstone Group;$226,200
Mitch McConnell;Goldman Sachs;$123,225
Mitch McConnell;NorPAC;$100,151
Mitch McConnell;Alliance Resource Partners;$100,150
Mitch McConnell;Votesane PAC;$81,600
Donald McEachin;Dominion Resources;$21,539
Donald McEachin;Northrop Grumman;$13,500
Donald McEachin;Norfolk Southern;$12,700
Donald McEachin;League of Conservation Voters;$12,555
Donald McEachin;Weinstein Properties;$10,800
James P McGovern;Dell Technologies;$15,200
James P McGovern;University of Massachusetts;$13,416
James P McGovern;Carpenters & Joiners Union;$11,450
James P McGovern;Raytheon Co;$10,235
James P McGovern;American Assn for Justice;$10,000
Patrick McHenry;Votesane PAC;$79,400
Patrick McHenry;Signature Bank;$60,350
Patrick McHenry;DCI Group;$42,250
Patrick McHenry;Citigroup Inc;$32,300
Patrick McHenry;FMR Corp;$30,950
David McKinley;FirstEnergy Corp;$26,950
David McKinley;Steptoe & Johnson;$23,000
David McKinley;Northrop Grumman;$17,000
David McKinley;Ergon Inc;$12,500
David McKinley;Seafarers International Union;$12,500
Jerry McNerney;University of California;$29,676
Jerry McNerney;Energy Capital Partners;$10,450
Jerry McNerney;314 Action;$10,000
Jerry McNerney;Carpenters & Joiners Union;$10,000
Jerry McNerney;Honeywell International;$10,000
Martha McSally;Citizens for Prosperity in America Today;$55,500
Martha McSally;Raytheon Co;$49,420
Martha McSally;Freeport-McMoRan;$44,600
Martha McSally;Elliott Management;$40,900
Martha McSally;Knight Swift Transportation;$38,300
Mark R Meadows;House Freedom Fund;$63,065
Mark R Meadows;Senate Conservatives Fund;$24,200
Mark R Meadows;Club for Growth;$21,300
Mark R Meadows;NorPAC;$13,500
Mark R Meadows;Pitney Bowes Inc;$13,000
Gregory W Meeks;Rock Holdings;$25,000
Gregory W Meeks;Goldman Sachs;$12,500
Gregory W Meeks;Rosen Partners;$11,000
Gregory W Meeks;Bank of America;$10,500
Gregory W Meeks;Fedex Corp;$10,500
Robert Menendez;NorPAC;$205,519
Robert Menendez;Lowenstein Sandler Llp;$91,862
Robert Menendez;Federated Investors Inc;$65,700
Robert Menendez;Paul, Weiss et al;$53,950
Robert Menendez;Goldman Sachs;$53,685
Grace Meng;Goldman Sachs;$16,500
Grace Meng;New York Life Insurance;$11,600
Grace Meng;Karat & Co;$10,800
Grace Meng;Victoria Cruises;$10,800
Grace Meng;Crystal Window & Door Systems;$10,700
Jeff Merkley;League of Conservation Voters;$89,212
Jeff Merkley;J Street;$58,555
Jeff Merkley;Oregon Health & Science University;$45,859
Jeff Merkley;Intel Corp;$44,853
Jeff Merkley;Votesane PAC;$43,750
Luke Messer;Barnes & Thornburg;$31,949
Luke Messer;Faegre Baker Daniels;$19,150
Luke Messer;Ice Miller LLP;$18,900
Luke Messer;Simon Property Group;$18,900
Luke Messer;Tyner Pond Farm;$18,900
Paul Mitchell;Amway/Alticor Inc;$13,500
Paul Mitchell;Delta Air Lines;$11,000
Paul Mitchell;Edward C Levy Co;$10,800
Paul Mitchell;Rock Holdings;$10,200
Paul Mitchell;American Bankers Assn;$10,000
John Moolenaar;DowDuPont;$52,050
John Moolenaar;Amway/Alticor Inc;$13,800
John Moolenaar;Boeing Co;$13,500
John Moolenaar;CMS Energy;$13,000
John Moolenaar;Signature Wall Solutions;$10,400
Alex Mooney;Franklin Resources;$24,600
Alex Mooney;HSP Direct;$20,550
Alex Mooney;Los Angeles County Lincoln Club;$12,744
Alex Mooney;Alliance Building Solutions;$12,000
Alex Mooney;US Navy;$11,810
Gwen Moore;Federated Investors Inc;$35,500
Gwen Moore;Northwestern Mutual;$15,001
Gwen Moore;Promontory Interfinancial Network;$10,800
Gwen Moore;American Assn for Justice;$10,000
Gwen Moore;American Council of Life Insurers;$10,000
Jerry Moran;Ciciora Custom Homes;$55,100
Jerry Moran;Burns & McDonnell;$53,200
Jerry Moran;Kansas City Southern;$40,754
Jerry Moran;Union Pacific Corp;$38,275
Jerry Moran;Berkshire Hathaway;$37,050
Joseph D Morelle;Reyes Holdings;$31,805
Joseph D Morelle;Ostroff Assoc;$24,500
Joseph D Morelle;Operating Engineers Union;$20,000
Joseph D Morelle;MacAndrews & Forbes;$16,400
Joseph D Morelle;Ashley Group;$16,200
Seth Moulton;Harvard University;$47,585
Seth Moulton;New Democrat Coalition;$22,200
Seth Moulton;Northrop Grumman;$19,000
Seth Moulton;Berkshire Partners;$18,900
Seth Moulton;Berkshire Hathaway;$14,800
Markwayne Mullin;Devon Energy;$20,800
Markwayne Mullin;Blue Cross/Blue Shield;$19,500
Markwayne Mullin;Chickasaw Nation;$16,300
Markwayne Mullin;Cox Enterprises;$14,000
Markwayne Mullin;Marathon Petroleum;$12,000
Lisa Murkowski;Cheniere Energy;$63,400
Lisa Murkowski;PG&E Corp;$59,400
Lisa Murkowski;Trident Seafoods;$46,750
Lisa Murkowski;ConocoPhillips;$43,150
Lisa Murkowski;Elliott Management;$43,000
Christopher S Murphy;Paul, Weiss et al;$148,505
Christopher S Murphy;Yale University;$116,372
Christopher S Murphy;J Street;$61,405
Christopher S Murphy;JPMorgan Chase & Co;$47,553
Christopher S Murphy;Sullivan & Cromwell;$44,295
Stephanie Murphy;EMILY's List;$58,333
Stephanie Murphy;Full Sail;$22,785
Stephanie Murphy;Blue Cross/Blue Shield;$21,000
Stephanie Murphy;New Democrat Coalition;$17,000
Stephanie Murphy;Democracy Engine;$16,507
Patty Murray;Microsoft Corp;$146,028
Patty Murray;Amazon.com;$108,965
Patty Murray;University of Washington;$95,755
Patty Murray;EMILY's List;$90,379
Patty Murray;Boeing Co;$87,479
Jerrold Nadler;Alphabet Inc;$26,008
Jerrold Nadler;STV Group;$23,500
Jerrold Nadler;Fragomen, Del Rey et al;$21,500
Jerrold Nadler;Windmill Distributing Co;$16,200
Jerrold Nadler;Proskauer Rose;$15,800
Grace Napolitano;Air Line Pilots Assn;$12,000
Grace Napolitano;Amalgamated Transit Union;$10,000
Grace Napolitano;American Federation of State/Cnty/Munic Employees;$10,000
Grace Napolitano;Brotherhood of Locomotive Engineers;$10,000
Grace Napolitano;Transport Workers Union;$10,000
Richard E Neal;Votesane PAC;$92,750
Richard E Neal;Massachusetts Mutual Life Insurance;$36,550
Richard E Neal;Raytheon Co;$31,650
Richard E Neal;FMR Corp;$26,500
Richard E Neal;Blue Cross/Blue Shield;$26,000
Bill Nelson;Democracy Engine;$198,194
Bill Nelson;Harris Corp;$109,467
Bill Nelson;Alphabet Inc;$100,512
Bill Nelson;University of Florida;$74,855
Bill Nelson;League of Conservation Voters;$71,489
Dan Newhouse;Bechtel Group;$14,470
Dan Newhouse;AECOM Global;$11,500
Dan Newhouse;Altria Group;$11,000
Dan Newhouse;American Bankers Assn;$10,000
Dan Newhouse;Boeing Co;$10,000
Kristi Noem;Massachusetts Mutual Life Insurance;$5,000
Kristi Noem;Xcel Energy;$3,000
Kristi Noem;Berkshire Hathaway;$2,500
Kristi Noem;National Assn of Insurance & Financial Advisors;$2,500
Kristi Noem;Polaris Industries;$2,500
Rick Nolan;Heartland Realty Investors;$21,600
Rick Nolan;International Brotherhood of Electrical Workers;$10,025
Rick Nolan;AmeriPAC: The Fund for a Greater America;$10,000
Rick Nolan;Professional Airways Systems Specialists;$10,000
Rick Nolan;Democrats Reshaping America;$8,100
Don Norcross;Gibbons PC;$18,000
Don Norcross;Conner, Strong & Buckelew;$16,950
Don Norcross;Phoenix Advisors;$16,200
Don Norcross;Phoenix Strategies;$16,200
Don Norcross;Camden Yards Steel;$14,850
Ralph Norman;House Freedom Fund;$74,200
Ralph Norman;Nutramax Laboratories;$46,800
Ralph Norman;Senate Conservatives Fund;$33,250
Ralph Norman;Warren Norman Co;$28,215
Ralph Norman;Burns Chevrolet;$23,600
Eleanor Holmes Norton;Forest City Enterprises;$12,600
Eleanor Holmes Norton;Amalgamated Transit Union;$10,000
Eleanor Holmes Norton;American Federation of State/Cnty/Munic Employees;$10,000
Eleanor Holmes Norton;American Federation of Teachers;$10,000
Eleanor Holmes Norton;Carpenters & Joiners Union;$10,000
Devin Nunes;General Atomics;$32,675
Devin Nunes;Oracle Corp;$29,800
Devin Nunes;Northrop Grumman;$22,004
Devin Nunes;Capitol Counsel;$21,200
Devin Nunes;Harris Farms;$20,500
Tom O'Halleran;Workday Inc;$16,200
Tom O'Halleran;Henry Crown & Co;$13,500
Tom O'Halleran;University of Arizona;$13,327
Tom O'Halleran;Raytheon Co;$13,015
Tom O'Halleran;Comcast Corp;$12,525
Beto O'Rourke;University of Texas;$502,001
Beto O'Rourke;Alphabet Inc;$268,173
Beto O'Rourke;J Street;$182,934
Beto O'Rourke;University of California;$166,652
Beto O'Rourke;AT&T Inc;$135,796
Pete Olson;Fluor Corp;$16,700
Pete Olson;Johnson Development;$13,900
Pete Olson;Marathon Petroleum;$12,000
Pete Olson;Blue Cross/Blue Shield;$11,000
Pete Olson;Phillips 66;$10,250
Steven Palazzo;Leidos Inc;$17,250
Steven Palazzo;Northrop Grumman;$14,500
Steven Palazzo;Yates Construction;$10,800
Steven Palazzo;American Institute of CPAs;$10,000
Steven Palazzo;Boeing Co;$10,000
Frank Pallone Jr.;Verizon Communications;$26,950
Frank Pallone Jr.;Alphabet Inc;$18,100
Frank Pallone Jr.;MacAndrews & Forbes;$17,900
Frank Pallone Jr.;Blue Cross/Blue Shield;$17,000
Frank Pallone Jr.;National Assn of Broadcasters;$16,750
Gary Palmer;Kykenkee;$31,600
Gary Palmer;BGR Group;$21,600
Gary Palmer;Harbert Management;$21,200
Gary Palmer;McKinney Capital;$21,100
Gary Palmer;AAA Cooper Transportation;$18,300
Jimmy Panetta;Northrop Grumman;$14,500
Jimmy Panetta;PG&E Corp;$11,250
Jimmy Panetta;Morgenthaler Ventures;$10,400
Jimmy Panetta;American Crystal Sugar;$10,000
Jimmy Panetta;Carpenters & Joiners Union;$10,000
Bill Pascrell Jr.;Inserra Supermarkets;$27,000
Bill Pascrell Jr.;EVAS Visionsafe Worldwide;$19,660
Bill Pascrell Jr.;Select Medical Holdings;$17,900
Bill Pascrell Jr.;Joseph M Sanzari Inc;$15,200
Bill Pascrell Jr.;NorPAC;$15,000
Rand Paul;Club for Growth;$67,630
Rand Paul;Charah Inc;$42,914
Rand Paul;Wexford Capital;$33,400
Rand Paul;Brown-Forman Corp;$31,900
Rand Paul;Mason Capital Management;$30,200
Erik Paulsen;Medtronic Inc;$42,050
Erik Paulsen;US Bancorp;$34,800
Erik Paulsen;Frauenshuh Companies;$33,800
